Country,Region,Area (sq. km.),Population,Population growth (%),Pop. density (per sq. km.),Literacy rate (%),Life expectancy (years),Birth rate (per 1000),Death rate  (per 1000),Infant mortality (per 1000 births),Urban population (% of total population),Rural population (% of total population),"Unemployment, total (% of total labor)",Phones (per 100 people),Internet Users (% population),Access to electricity (% of population),Forest area (% of land area),Agricultural land (% of land area),Inflation (annual %),Women Seats In Parliament (%),Political Stability And Absence Of Violence/Terrorism(%),Human Capital Index,Net migration,Govt. Debt (% of GDP),Military expenditure (% of GDP),Education expenditure (% of GDP),Health expenditure (% of GDP),Agriculture contribution (% of GDP),Industry contribution (% of GDP),Service contribution (% of GDP),Remittances (% of GDP),GDP (current US$),GDP per capita (current US$),GDP growth (annual %)
Aruba,Latin America & Caribbean,180,106537,-0.04504462,592.138889,97.99,75.723,8.102,9.69,12.925,43.866,56.134,8.8,132.2888,97.2,100,2.33333333,11.11111111,4.2575,26.1,100,0.69,501,104,0,0.2185,10.89064,0.7,33.3,66,1.1508449,3126019399,29342.1009,17.17250851
Afghanistan,South Asia,652230,40099462,2.851357654,59.7522806,37.26604,62.575,36.051,7.113,45,26.314,73.686,13.283,58.19021,18.4,97.69999695,1.85278199,58.80747589,9.1,27.016129,3.3,0.36240539,-183672,9.8,1.35885693,2.86085939,13.2422018,33.484499,15.589008,46.5051137,3.91649605,14786861638,368.754614,-20.7371456
Angola,Sub-Saharan Africa,1246700,34503774,3.166029862,26.8135766,72.28,62.261,39.271,7.821,48.3,67.46,32.54,8.52999973,44.42373,36,46.89060974,53.4269512,45.68259405,25.75426565,29.5454545,33.49,0.36,29089,118.7,1.13205982,2.4152,2.53335953,7.94415949,44.1161601,46.4545233,0.01873939,67404287260,1953.53376,1.1
Albania,Europe & Central Asia,27400,2811666,-0.92691806,103.571131,98.45,76.989,10.285,10.785,8.8,62.969,37.031,11.8190002,92.31992,79.32372,100,28.7919708,42.53850365,2.041471631,35.7142857,59.91,0.6730119,-10612,84.05861908,1.41563593,3.0999999,6.10934,17.6640593,21.8236782,47.7127386,9.41247019,18255787479,6492.87201,8.515501123
Andorra,Europe & Central Asia,470,79034,1.702288225,165.319149,100,83.5,6.91,7.86,2.4,87.858,12.142,3.1,120.9781,91.6,100,34.0425532,39.82978723,2.1,46.4285714,100,0.60214472,1377,40.6,0.2,2.88000011,6.71158504,0.6,4.5,94.9,0.5,3330281524,42137.3273,8.949417981
United Arab Emirates,Middle East & North Africa,71020,9365145,0.834812788,130.770051,98.12636,78.946,10.62,1.766,5.6,87.299,12.701,3.35800004,197.8439,100,100,4.46775556,5.488594762,3.61,50,86.32,0.68,-2762,16.6,4.6,3.87986994,4.27504921,0.91402594,47.4834808,51.6024933,2.5,4.15022E+11,44315.5542,3.91629608
Argentina,Latin America & Caribbean,2736690,45808747,0.947490959,16.5808926,0.9951,75.892,14.125,8.509,7.6,92.229,7.771,10.9020004,130.455,87.14829,100,10.4407149,39.60322861,2.99,44.7470817,54.72,0.5957039,2344,96.5,0.565318,5.01604986,9.5100708,7.13154105,23.579473,52.5050667,0.18709779,4.87227E+11,10636.1202,10.39824946
Armenia,Europe & Central Asia,28470,2790974,-0.52296324,98.5461187,99.78861,72.173,12.455,12.792,9.7,63.431,36.569,20.8969994,128.9614,76.5077,100,11.5374078,58.8689849,7.184836294,33.6448598,30.66,0.77023953,-12825,63.40121401,4.44012109,2.77138996,11.3352642,11.3374775,26.6414047,52.7957439,11.6162184,13861409969,4966.51347,5.7
American Samoa,East Asia & Pacific,200,45035,-2.53017093,230.945,99.1,72.77,12.7,5.6,12.38,87.169,12.831,9.84,14.11,40.3,100,85.65,20.05,0.9005,0,98.11,0.74673975,-1646,15.6,18.1,9.1,8.21208,25.3,22.8,51.9,2.4,709000000,15743.3108,-1.86625194
Antigua and Barbuda,Latin America & Caribbean,440,93219,0.597151595,210.6,98.95,78.841,12.16,5.961,5.4,24.38,75.62,11,198.5669,76,100,18.4545455,20.45454545,2.062996385,11.1111111,96.23,0.57776755,0,69.2,0,3.83625007,4.44295979,2.16286845,21.8890041,64.4923012,3.40841172,1471125926,15781.3957,5.27084884
Australia,East Asia & Pacific,7692020,25688079,0.127728296,3.33531231,99,83.2,11.5,6.3,3.1,86.362,13.638,5.11199999,106.9417,89.6,100,17.4213146,46.25247984,2.863910422,31.1258278,93.87,0.38617063,117929,69.41379793,1.97842253,6.0999999,9.91078568,2.30660266,25.5235123,65.6511501,0.05939971,1.55267E+12,60443.1092,2.236212439
Austria,Europe & Central Asia,82520,8955797,0.435671684,108.057004,98,81.1926829,9.4,10.3,3,58.995,41.005,6.30100012,121.9695,92.52915,100,47.2509695,32.07416384,2.766666667,40.4371585,95.28,0.76041967,20314,99.91308581,0.80212167,5.07000017,10.4340315,1.21218912,25.8339686,62.4139111,0.65929574,4.80368E+11,53637.7057,4.556850913
Azerbaijan,Europe & Central Asia,82646,10137750,0.441197736,122.124737,0.998,66.868,12.5,7.5,17.3,56.776,43.224,6.58300018,104.8878,84.6,100,13.6941897,57.83824989,6.650299127,18.1818182,30.19,0.40029073,1084,35.2,5.27005901,4.33204985,4.03829002,5.87662628,48.4273248,37.6272512,2.79490145,54622176471,5387.99797,5.600037273
Burundi,Sub-Saharan Africa,25680,12551213,2.672478462,475.865537,74.71,61.566,35.603,7.562,38.6,14.058,85.942,1.79200006,61.67128,14.6,11.73555565,10.8894081,79.16666667,8.404538451,38.2113821,16.51,0.38369194,-14415,55.4,1.92280185,5.04097986,7.99091434,28.66022,10.59939,44.80546,3.3,2779813489,221.477676,1.7953
Belgium,Europe & Central Asia,30280,11592952,0.469904402,381.06354,99,80.795122,9.9,11,3.4,98.117,1.883,6.42000008,101.1084,92.78868,100,22.7642008,45.06635733,2.440248511,42,85.38,0.46403643,52356,119.4253561,1.08180778,6.71000004,10.6560497,0.66317401,19.6200725,68.7805936,2.67345767,5.94104E+11,51247.0144,6.133865964
Benin,Sub-Saharan Africa,112760,12996895,2.759705179,112.124184,45.84,60.088,37.114,9.364,56.5,48.972,51.028,1.574,97.96018,25.8,41.41095734,27.8037425,35.03015254,1.733539627,8.43373494,49.06,0.61389816,1732,40.6,0.56062137,3.00365996,2.38842916,29.4360983,16.9910216,47.3439979,1.30737198,17144918952,1319.15499,7.155729529
Burkina Faso,Sub-Saharan Africa,273600,22100683,2.650375915,78.6645687,46.4,59.731,36.085,8.813,52.8,31.24,68.76,4.7579999,111.6631,22,18.95723915,22.7207602,44.38230994,3.653532872,6.2992126,10.85,0.65247202,-13097,72.5316089,2.89113382,5.51908016,5.46494246,17.460657,32.0090238,42.0936667,2.92527947,19737615114,893.077156,6.906341673
Bangladesh,South Asia,130170,169356251,1.149318476,1286.17155,74.9089,71.968,18.053,5.816,24.3,38.946,61.054,5.22900009,106.8878,24.8,96.19999695,14.4687716,76.06207267,5.545654308,20.8571429,26.89,0.48,-174500,39.9,1.26977672,2.119385,2.48357606,11.6328584,33.3160944,51.3015069,5.33384282,4.16265E+11,2457.92488,6.938675089
Bulgaria,Europe & Central Asia,108560,6877743,-0.81484647,63.8726511,98.42,73.6073171,8.5,18,5.1,76.025,23.975,5.42399979,114.7678,75.27145,99.69999695,35.8603537,46.49042004,3.297744353,23.75,73.58,0.57968408,-8716,32.24333379,1.59488901,4.03999996,7.12611389,4.36701478,20.8462048,62.2662673,0.93515879,84056312734,12221.4966,7.634609716
Bahrain,Middle East & North Africa,785,1463265,-0.96602484,1882.12611,0.9098,79.174,12.621,2.239,5.8,89.622,10.378,1.87399995,131.4487,100,100,0.89171975,10.95541401,-0.60631939,15,44.81,0.70007819,-9150,93.6,3.55825967,2.15205002,4.01147509,0.28222155,44.8034024,52.2514647,12.7,38868663032,26562.9691,2.225351242
"Bahamas, The",Latin America & Caribbean,10010,407906,0.352416997,40.6064935,98.2,72.677,11.49,8.076,10.5,83.365,16.635,13.2390003,114.645,87,100,50.9350649,1.398601399,2.904912629,17.9487179,95.7,0.62,485,84.44992014,0.7,2.78221989,5.74977493,0.48980247,11.292222,78.5753796,11.7,11208600000,27478.3896,13.71973494
Bosnia and Herzegovina,Europe & Central Asia,51200,3270943,-1.4406526,64.8126367,98.1,76.225,8.611,14.094,4.9,49.425,50.575,15.2150002,113.9969,75.6762,100,42.7326172,43.28125,1.981639006,26.1904762,47.64,0.57,-25865,46.04821751,0.89493835,3.7,9.04909897,5.15666579,25.5254748,54.8947844,10.162342,23365361635,7143.31055,7.54559113
Belarus,Europe & Central Asia,202980,9340314,-0.42347752,46.2112129,99.87,74.2268293,9.3,13,2.2,79.91,20.09,4.73600006,122.7801,86.88841,100,43.1944034,40.79712287,9.460283896,40,33.49,0.74,12961,54.6,1.15580571,4.70553017,5.86133957,6.80380935,32.1536445,48.3064111,1.66665231,68205380707,7302.25779,2.299879412
Belize,Latin America & Caribbean,22810,400031,1.285629921,17.3135028,82.68,72.854,17.881,5.244,10,46.201,53.799,8.21899986,66.84898,47.1,97.11333466,55.9864095,7.540552389,3.235636592,12.5,75.94,0.55149794,577,133.4,1.2535839,8.70701027,5.96689224,7.68908087,16.7778928,61.8296388,5.43286763,2491500000,6228.26731,15.22613065
Bermuda,North America,54,63867,-0.04070132,1183.2037,98,82.0560976,8.4,8.8,2.21,100,0,9.6,106.2002,98.1,100,18.5185185,5.555555556,5.1,9.09,97.64,0.74,291,37.2,0,1.89716053,12.32,0.29054675,5.29346512,90.5012717,22.8556313,7286607000,114090.328,5.41353381
Bolivia,Latin America & Caribbean,1083300,12079472,1.193486719,11.0183347,93.85256,64.467,22.056,9.3,20.7,70.475,29.525,8.50899982,99.62307,59.9401,97.55412292,46.9249146,34.88138097,0.737383721,46.1538462,49.06,0.62639135,-4666,51.2,1.54445834,9.8374548,6.9233799,12.9222527,26.3609324,50.5781486,3.50696167,40408208528,3345.19659,6.105804225
Brazil,Latin America & Caribbean,8358140,214326223,0.528590453,25.5076254,94.3,74.009,13.078,7.42,13.1,87.317,12.683,14.4029999,102.4889,81.34269,100,59.4174781,28.34109036,8.301659756,15.2046784,42.92,0.47529703,20376,100.5866373,1.19080985,5.5,9.5912714,6.89128329,18.8581282,59.3812891,0.25494502,1.60898E+12,7507.16097,4.619421621
Barbados,Latin America & Caribbean,430,281200,0.180461454,652.774419,99.6,77.393,10.859,8.973,11.4,31.246,68.754,10.4130001,112.6006,81.8,100,14.6511628,23.25581395,8.18,20,97.64,0.4140285,-28,117.6,0.8,6.45361996,6.29990387,1.48230728,13.4078616,71.1012015,2.31853226,4843800000,17225.4623,-0.18927287
Brunei Darussalam,East Asia & Pacific,5270,445373,0.822461682,83.8187856,97.59,74.795,14.165,4.975,9.6,78.554,21.446,7.64900017,135.5013,95,100,72.1062619,2.542694497,1.733413885,9.09090909,98.6,0.29163191,-192,2.8,3.2622296,4.2,2.16031361,1.25628997,62.7015641,37.6286451,0.00637548,14006569576,31449.0766,-1.59076248
Bhutan,South Asia,38140,777486,0.642586173,20.2544835,7.95,71.609,12.65,6.545,23.2,43.008,56.992,4.33199978,100.0671,85.63688,100,71.449397,13.45044573,7.346838598,17.0212766,95.75,0.7975201,291,117.3297593,2.2,7.00352383,3.60761595,19.1916698,34.1984783,43.9909205,3.58832528,2539552985,3266.36491,4.087618798
Botswana,Sub-Saharan Africa,566730,2588423,1.636742755,4.49314841,86.82,65.647,24.195,6.95,36.1,71.56,28.44,24.7220001,160.737,64,71.99475861,26.9170504,45.63372329,7.240977656,10.7692308,95.28,0.75611514,1816,19.6558567,2.85964039,8.73999977,6.04836559,1.72178076,29.6866304,63.6285723,0.32716359,17614791266,6805.22127,11.37002186
Central African Republic,Sub-Saharan Africa,622980,5457154,2.113637226,8.57655141,37.49,54.604,42.175,11.041,77.5,42.648,57.352,6.57499981,34.26901,10.4,15.46508408,35.8005072,8.154354875,4.259364175,12.8571429,6.13,0.31,-85860,38.9,1.85867508,2.16669989,7.75300884,30.0669214,20.160721,39.6584469,1.7,2516498299,461.13749,0.900000007
Canada,North America,8965590,38246108,0.547707006,4.24257679,99,81.7487805,9.4,8.1,4.4,81.653,18.347,7.51000023,85.76331,92.3,100,38.6955125,6.440513117,3.395193185,30.4733728,95.28,0.65160418,195181,72.0858234,1.31515295,5.17000008,10.8444777,1.7,26.1,72.2,0.0405561,1.98834E+12,51987.9391,4.540887309
Switzerland,Europe & Central Asia,39516.03,8703405,0.752392087,218.59906,100,83.1,9.9,8.8,3.5,73.996,26.004,5.3210001,127.4054,95.56937,100,32.1163335,38.06591148,0.581814168,42.5,97.64,0.37988934,23872,20.91088891,0.7116428,5.21999979,11.291481,0.6291997,24.5981549,71.923338,0.37710104,8.0064E+11,91991.6005,4.221716577
Chile,Latin America & Caribbean,743532,19493184,0.994344898,25.9576118,97.4,79.377,11.834,7.221,5.8,87.817,12.183,9.12800026,136.3134,88.3,100,24.4921537,21.12888215,4.524568383,35.483871,58.49,0.36636928,113709,30.2,1.96335906,4.4,9.33272362,3.28487041,31.748581,54.6468067,0.02806454,3.17059E+11,16265.096,11.6682247
China,East Asia & Pacific,9424702.9,1412360000,0.0892522,149.723553,97.15,78.077,8.52,7.07,5.5,62.512,37.488,4.81699991,121.5141,73.05324,100,23.3405957,56.07689766,0.981015136,24.9411765,42.92,0.41926572,-200194,66.8,1.73634051,3.56999993,5.3502779,7.26481606,39.4261123,53.3090717,0.12677854,1.77341E+13,12556.3331,8.109792581
Cote d'Ivoire,Sub-Saharan Africa,318000,27478249,2.45530301,84.313805,89.9,59.032,34.197,8.817,57.9,52.18,47.82,3.46799994,162.1701,46.8,69.67912292,8.9204717,66.66666667,4.091951897,14.1732283,48.5,0.6043303,-21000,49.5,1.25148133,3.44302011,3.29862952,19.8526853,21.4070355,52.2337171,0.53652039,70043191477,2549.0413,7.03796
Cameroon,Sub-Saharan Africa,472710,27198628,2.635819406,56.0408855,78.23,60.833,35.507,8.419,48.3,58.148,41.852,3.86500001,84.36917,37.8,64.72136688,43.0295107,20.62575363,2.271857625,33.8888889,14.62,0.4046883,-9889,39.1,1.02408931,3.16616011,3.59539533,16.9105625,24.4981379,51.0550218,0.8194033,45338283345,1666.93273,3.649916886
"Congo, Dem. Rep.",Sub-Saharan Africa,2267050,95894118,3.22252816,40.9577045,8.2,59.739,42.311,9.537,63.8,46.235,53.765,5.42600012,43.93862,13.6,19.10000038,55.6473126,14.80867206,8.44,12.8,20.8,0.319,-64643,26.5,0.56168578,2.70000005,3.53626084,19.0436301,45.3420353,33.1828399,2.27655333,55350968593,577.209215,6.200154011
"Congo, Rep.",Sub-Saharan Africa,341500,5835806,2.316488253,16.6974348,8.61,63.785,31.155,6.923,33,68.283,31.717,23.0109997,95.2509,23.2,49.51710129,64.2635432,31.12152269,1.715642755,11.2582781,25.3,0.62863505,-4466,65.6,2.91271196,4.44861984,2.08331084,9.51190538,23.5252635,60.2271726,0.12050139,13366230220,2290.38289,-2.20000261
Colombia,Latin America & Caribbean,1109500,51516562,1.143820916,45.9041568,95.63633,74.769,14.435,6.606,11.4,81.74,18.26,14.3360004,145.6932,69.79,100,53.3050113,43.48158855,3.495057574,18.8235294,27.36,0.6,211978,90.40356612,3.40189398,4.93310022,7.70943594,7.4289691,25.0072622,57.9612421,2.7374406,3.14464E+11,6104.13671,10.67701307
Comoros,Sub-Saharan Africa,1861,821625,1.899440995,433.189683,61.99,64.166,29.896,8.274,47.2,29.613,70.387,9.44699955,103.8732,8.5,86.73713684,17.6894143,70.39226222,0.18,16.6666667,53.77,0.41,-1772,24.1,1.3,6,5.17030334,35.5116524,9.26757878,50.9330089,18.5578031,1296089633,1577.47103,2.112195577
Cabo Verde,Sub-Saharan Africa,4030,587925,0.902988883,144.575682,9.78,74.808,17.158,5.692,12.2,67.102,32.898,15.4230003,100.382,64.5,94.16174316,11.3449132,19.60297767,1.862152975,38.8888889,95.28,0.51,-1274,131.8,0.535772,7.58479023,4.93621731,4.40976872,25.1354525,57.3193659,16.1196848,1936174043,3293.23305,6.952448694
Costa Rica,Latin America & Caribbean,51060,5153957,0.600406861,100.334998,98.4,79.277,12.152,5.627,6.7,81.425,18.575,17.9540005,152.0082,82.74902,99.90000153,59.4373286,34.49862906,1.726477551,45.6140351,94.34,0.75552022,2084,66.9,0.6,6.71066999,7.27393246,4.45421187,20.5482895,66.8675494,0.92424247,64282438667,12472.4437,7.579565299
Cuba,Latin America & Caribbean,103800,11256372,-0.39301254,108.869923,99.67311,77.567,9.344,10.23,4.1,77.292,22.708,2.75600004,63.10467,74,100,31.2331407,61.66666667,2.67,53.4129693,73.58,0.75116247,-7068,47.5,2.1,1.15248E-05,11.3402052,0.88194096,23.347436,74.9616805,25,107352000,9499.5902,1.254092864
Curacao,Latin America & Caribbean,444,152369,-1.67779125,348.97973,100,78.02,10.1,9,8.38,89.038,10.962,19.1,96.14978,68.1,100,0.15765766,10,3.8,14.3,37.98,0.68,502,65.2,0,7.42913866,11.2,0.1943544,14.2774828,74.1972586,5.23815318,2699612458,17717.5965,4.232404629
Cayman Islands,Latin America & Caribbean,240,68136,1.218203729,280.4625,98.86782,82.19,12.6,3.3,7.84,100,0,5.7,148.5663,81.1,100,53,11.25,8.9,0,100,0.54474932,276,0,0,2.7,5.5,0,32.1,67.9,0.16061129,5898449688,86568.7696,1.839256358
Cyprus,Europe & Central Asia,9240,1244188,0.53599943,133.932576,99.36,81.391,10.583,6.93,2.3,66.856,33.144,6.13000011,148.7381,90.80195,100,18.6720779,14.51611472,2.446088672,14.2857143,73.58,0.75509483,1995,102.5,1.98681222,6.05999994,7.00903225,1.70041432,13.1178584,73.224936,2.34294628,28407867534,31551.8164,6.638926968
Czechia,Europe & Central Asia,77198.53,10505772,-1.81187141,138.575929,99,78.2268293,10.3,12.1,2.3,74.214,25.786,2.88700008,124.9188,82.67062,100,34.6779919,45.64686659,3.839844915,25,95.28,0.50276691,3621,35.4,1.43409136,5.07999992,7.83470726,1.84559759,30.2677874,58.7536597,1.5568524,2.81778E+11,26821.2452,3.544223443
Germany,Europe & Central Asia,349390,83196078,0.042327057,238.017319,99,80.9414634,9.3,11.9,3.1,77.544,22.456,3.53500009,128.8867,91.43061,100,32.6826755,47.49706632,3.142969673,34.9184783,92.45,0.53455645,312735,72.2,1.33738434,4.65999985,11.6972494,0.85072534,26.7365031,62.8845422,0.47915703,4.25993E+12,51203.5545,2.626987267
Djibouti,Middle East & North Africa,23180,1105557,1.40284751,47.0300259,46.2,62.694,22.477,8.821,47.2,78.217,21.783,28.3859997,44.26176,59,61.76708221,0.2502157,73.4253667,4.46,26.1538462,35.38,0.59425485,742,93.4,4.2,2.7,1.79826784,3.1,22.8,74.1,2.01364429,3482987379,3150.43673,4.812477383
Dominica,Latin America & Caribbean,750,72412,0.577535935,95.9933333,94,76.6,18.67,8.14,31.7,71.395,28.605,7.4,105.5644,69.6,100,63.8266667,33.33333333,3.02,34.375,99.53,0.49437466,57,82.3,1.2,5.46584511,5.46006632,16.9913586,12.1961652,56.1107807,10.381961,554181481.5,7653.17187,6.681925718
Denmark,Europe & Central Asia,40000,5856733,0.433414489,145.7851,99,81.5512195,10.4,9.4,3.1,88.24,11.76,4.79799986,124.4957,98.86585,100,15.711,65.499675,1.85304544,39.6648045,95.28,0.859,22746,34.3,1.37159147,6.38000011,9.95583057,0.86718737,19.3200765,66.6979348,0.37464086,3.98303E+11,68007.7567,4.855707586
Dominican Republic,Latin America & Caribbean,48310,11117873,1.068926667,227.689174,95.17,72.889,18.78,6.46,27.9,83.213,16.787,8.49600029,87.56486,76.9,100,44.3821155,50.27944525,8.24300348,27.8947368,61.79,0.72825503,-14966,63.2,0.65056273,4.61870003,5.929142,5.66578215,32.6621209,54.6296748,11.398988,94243453937,8476.75216,12.27199023
Algeria,Middle East & North Africa,2381741,44177969,1.657703201,18.2436571,81.41,74.453,22.431,5.398,19.5,74.261,25.739,12.7040005,106.4528,62.9,99.80413055,0.81830896,17.36496412,7.226063074,8.10810811,28.77,0.7772032,-18797,45.8,5.59258407,7.0423975,6.24337101,13.0309016,38.9187839,44.0251572,1.17206988,1.63044E+11,3690.62788,3.5
Ecuador,Latin America & Caribbean,248360,17797737,1.182063375,70.8189523,94.48359,72.153,17.037,7.534,11.1,64.361,35.639,6.42700005,94.33559,70.7,98.84999847,50.3214286,21.82315993,0.133251386,39.4160584,50,0.50596654,35894,64.1,2.45571202,3.69138002,7.81824684,9.41428764,31.1735412,53.4098436,4.11379094,1.06166E+11,5965.13287,4.235251242
"Egypt, Arab Rep.",Middle East & North Africa,995450,109262178,1.658383679,107.956335,73.9,70.99,23.051,5.851,16.6,42.862,57.138,9.32900047,94.68028,71.9142,100,0.04518559,3.989150635,5.214049405,27.7027027,37.5,0.45761245,-32370,89.5,1.30081911,2.48000002,4.73997355,11.8315058,30.7912531,52.229878,7.79105867,4.04143E+11,3698.83498,3.326742091
Eritrea,Sub-Saharan Africa,121040.829,3620312,1.796101337,29.377426,76.57,67.133,28.706,6.424,29.7,41.985,58.015,8.04699993,50.64867,6.9,52.1710968,8.71821524,62.72263717,6.6,22,25.94,0.5689258,-14988,133.5,5.9,5.6,4.45876694,14.5,34.9,50.6,3.7,2200000000,611,2.9
Spain,Europe & Central Asia,499556.645,47415750,0.105706398,94.8153837,98.59446,82.3341463,7.1,10.4,2.7,81.056,18.944,14.7329998,119.6231,93.89752,100,37.1773055,52.33167922,3.09313512,43.4285714,83.49,0.4500564,275022,141.2169882,1.37078152,4.59000015,9.13213158,2.61144375,20.3574287,67.4259762,0.27735429,1.42738E+12,30103.5137,5.519594973
Estonia,Europe & Central Asia,42750,1330932,0.105996956,31.0999298,99.87,78.3463415,9.9,11.9,1.7,69.415,30.585,6.33099985,149.0808,91.03627,100,57.0385965,23.04093567,4.653166738,25.7425743,92.45,0.79,2995,23.76990453,2.15551505,6.57999992,6.7304492,2.02065434,23.1064624,62.5382331,1.56025566,37191166152,27943.7012,8.013462924
Ethiopia,Sub-Saharan Africa,1128571.27,120283026,2.604319283,103.840063,51.77,65.371,32.78,6.616,35.4,22.174,77.826,3.69400001,37.97223,24,51.0939827,15.1239895,34.09275178,26.83952216,42.5882353,6.13,0.37094247,-1391,57.1,0.52782823,4.2,3.23808599,37.5738333,21.8523422,36.2520571,0.40230305,1.11271E+11,925.077428,5.637303008
Finland,Europe & Central Asia,303940,5541017,0.207288594,18.1928769,100,82.1317073,8.4,10,1.9,85.596,14.404,7.5250001,129.1548,92.80806,100,73.7283674,7.468579325,2.194574323,46,95.28,0.896,14928,72.2,2.03028083,5.88000011,9.15348339,2.29584631,24.606253,59.7878799,0.28337422,2.97302E+11,53654.7503,2.973229356
Fiji,East Asia & Pacific,18270,924610,0.453976646,50.3788725,99.09,67.924,19.628,8.078,23,57.74,42.26,5.23899984,107.7223,70.5,100,62.3984674,17.05528188,0.155855722,21.5686275,89.62,0.69000649,-6003,67.7,1.65062746,5.67535305,3.81607008,14.5217291,16.889604,53.7758074,11.259687,4296304590,4646.61272,-5.11160739
France,Europe & Central Asia,547557,67749632,0.263854757,123.404699,99,82.1756098,10.9,9.9,3.4,81.242,18.758,8.06299973,112.8271,86.09549,100,31.5090484,52.14754628,1.64233141,39.5147314,69.81,0.56507051,20614,123.0135527,1.94538226,5.5,11.0574722,1.64018921,16.6557238,70.3441202,1.08446978,2.95788E+12,43658.979,6.816589136
Faroe Islands,Europe & Central Asia,1366,52889,0.900256783,38.3711567,99,83.0926829,12.9,7,5.44,42.583,57.417,0.8,112.9696,97.6,100,0.05856515,70.32942899,8.6,24,100,0.85,0,36.1,1.5,8.1,8.2,14.1590259,19.5309232,54.5081753,1.5,3649886275,69010.3098,12.35
"Micronesia, Fed. Sts.",East Asia & Pacific,700,113131,0.9101587,160.151429,98.8,70.674,20.837,6.065,20.9,23.068,76.932,16.49,19.62428,35.3,82.92591858,92.0285714,31.42857143,2.1,7.14285714,56.7,0.46127009,-635,25.40451299,1.5,7.2,11.4420805,22.2756342,5.02288326,66.6509252,5.72026961,404028900,3571.33677,-3.1881872
Gabon,Sub-Saharan Africa,257670,2341179,2.097988103,8.89732216,85.46,66.531,27.695,6.909,30.7,90.423,9.577,22.2649994,134.3173,62,91.57156372,91.3206815,8.587107541,1.1,16.1971831,56.13,0.42,1516,60.7,1.7100361,3.18161011,2.76836205,6.01726243,50.9156385,38.6557482,0.11580442,20216843174,8635.32569,1.46228651
United Kingdom,Europe & Central Asia,241930,67326569,0.365409887,277.274418,99,80.902439,10.2,10.4,3.6,84.152,15.848,4.52600002,118.5668,94.8182,100,13.1856322,71.34004919,2.518371096,34.2592593,77.36,0.49522647,202027,195.3922888,2.22322827,5.53000021,10.154027,0.67483194,17.4853243,71.4645443,0.11250459,3.13138E+12,46510.2828,7.524910374
Georgia,Europe & Central Asia,69490,3708610,-0.37963661,65.1302705,99.36,72.765,12.966,13.976,8.2,59.872,40.128,10.6590004,137.4025,76.44271,100,40.615916,34.21931213,9.566914338,19.3333333,46.7,0.81275654,-2734,65.8844131,1.67322167,3.62380004,6.65744257,6.4663285,21.3680838,59.5147082,14.1922502,18629365597,5023.27438,10.46553729
Ghana,Sub-Saharan Africa,227533,32833031,2.00774487,141.431797,8.38,64.114,28.038,7.448,33,57.985,42.015,4.704,125.7337,68.6,85.87355042,35.096931,55.39301991,9.971088675,14.5454545,58.96,0.48102313,-11253,76.1,0.49210059,2.9,3.41858864,19.7087754,28.2645091,45.9307234,6.12758528,77594279055,2363.2993,5.356477897
Gibraltar,Europe & Central Asia,10,32669,-0.12236534,3270.9,80,82.198,10.844,8.685,5.52,100,0,1,108.3466,94.4,100,0,0,1.27,17.6,39.62,0.70969397,-58,38.3,7.2,3.3,10.8,0.6,18.4,80.9,1.3,2400000000,96512,-6.9
Guinea,Sub-Saharan Africa,245720,13531906,2.444317219,53.740652,45.33,59.327,34.944,9.847,62,37.264,62.736,6.34200001,104.4668,26,44.66867828,25.1872049,59.01025558,12.59706951,22.8,26.89,0.44656491,-4367,40.3,1.48454112,2.19947004,3.98389959,25.8219862,28.5336043,37.2697023,2.13717309,16091817842,1189.176,3.9
"Gambia, The",Sub-Saharan Africa,10120,2639916,2.52879318,254.347332,58.6,62.612,33.719,7.373,34.7,63.222,36.778,11.2119999,104.0388,36.5,62.27306747,23.979249,59.7826087,7.370347589,8.62068966,43.94,0.68308729,-1960,86.6,0.74865138,2.76372004,3.82171082,22.4187284,17.1547447,53.3493383,26.8370652,2038417462,772.152395,4.265492162
Guinea-Bissau,Sub-Saharan Africa,28120,2060721,2.202589246,71.6866287,52.89,59.999,31.605,8.574,51.4,44.617,55.383,6.75899982,108.5305,22.9,33.33546829,70.4128734,28.98684211,2.242488796,13.7254902,53.4,0.54003847,-1395,60.8,1.78263866,2.70843005,8.34976101,58.5,12.7,28.9,12.2184321,1638517533,795.118569,3.800002427
Equatorial Guinea,Sub-Saharan Africa,28050,1634466,2.378494519,56.9001426,94.37,60.708,31.174,9.026,58.3,73.561,26.439,9.24499989,40.41229,26.2,66.74772644,87.2877005,6.720855615,4.77,23,50,0.31,6486,59.2,1.30517155,2.4,3.13503671,2.63047391,51.3209544,46.2608952,0.6,12269392840,7506.66752,-0.94538292
Greece,Europe & Central Asia,128900,10641221,-0.53775653,82.9992164,99.3,81.0878049,7.9,12.2,3.6,80.038,19.962,14.7950001,110.0393,78.49426,100,30.2699767,45.5173623,1.22382501,21.6666667,62.26,0.4935109,-14806,252.2861546,3.86736963,4.44000006,7.83788586,3.87084478,15.3123205,68.1531562,0.32059097,2.14874E+11,20192.5963,8.434425502
